Component, CC
org.mozilla.javascript.optimizer.Codegen,42
org.mozilla.javascript.Parser,52
org.mozilla.javascript.regexp.SubString,4
org.mozilla.javascript.NativeJavaMethod,10
org.mozilla.javascript.BoundFunction,3
org.mozilla.javascript.ast.ObjectProperty,1
org.mozilla.javascript.IdScriptableObject,9
org.mozilla.javascript.IRFactory,28
src.org.mozilla.javascript.tests.commonjs.module.RequireJarTest,1
org.mozilla.javascript.ast.XmlMemberGet,1
org.mozilla.javascript.ast.XmlExpression,1
org.mozilla.javascript.commonjs.module.ModuleScriptProvider,5
org.mozilla.javascript.ast.XmlFragment,1
org.mozilla.javascript.ast.WhileLoop,1
org.mozilla.javascript.ast.PropertyGet,1
org.mozilla.javascript.ast.VariableInitializer,1
src.org.mozilla.javascript.tools.shell.ConsoleTextArea,4
mplsrc.org.mozilla.javascript.xmlimpl.XMLWithScope,2
org.mozilla.javascript.ast.Scope,2
org.mozilla.javascript.ast.IdeErrorReporter,2
org.mozilla.javascript.ast.CatchClause,1
org.mozilla.javascript.ast.ErrorNode,1
ecatedsrc.org.mozilla.javascript.xml.impl.xmlbeans.QName,3
org.mozilla.javascript.NativeContinuation,1
org.mozilla.javascript.ast.EmptyExpression,1
org.mozilla.javascript.LazilyLoadedCtor,10
org.mozilla.javascript.optimizer.ClassCompiler,3
ecatedsrc.org.mozilla.javascript.xml.impl.xmlbeans.XMLName,1
org.mozilla.javascript.ContextAction,1
src.org.mozilla.javascript.tools.idswitch.CodePrinter,1
org.mozilla.javascript.commonjs.module.ModuleScope,1
org.mozilla.javascript.Icode,1
org.mozilla.javascript.commonjs.module.ModuleScript,4
org.mozilla.javascript.SecureCaller,5
src.org.mozilla.javascript.tests.Bug409702Test,5
org.mozilla.javascript.optimizer.DataFlowBitSet,1
org.mozilla.javascript.JavaScriptException,6
org.mozilla.javascript.ast.NumberLiteral,1
org.mozilla.javascript.ast.SwitchStatement,2
org.mozilla.javascript.annotations.JSStaticFunction,1
org.mozilla.javascript.optimizer.OptFunctionNode,3
src.org.mozilla.javascript.drivers.TestUtils,4
src.org.mozilla.javascript.drivers.ShellTest,15
org.mozilla.javascript.debug.DebuggableScript,1
org.mozilla.javascript.regexp.NativeRegExpCtor,3
src.org.mozilla.javascript.tools.shell.JSConsole,2
src.org.mozilla.javascript.tests.GlobalParseXTest,3
org.mozilla.javascript.ast.ParseProblem,1
org.mozilla.javascript.ast.NodeVisitor,1
mplsrc.org.mozilla.javascript.xmlimpl.XMLList,15
org.mozilla.javascript.ast.FunctionNode,2
org.mozilla.javascript.ast.DestructuringForm,2
org.mozilla.javascript.NativeGenerator,14
org.mozilla.javascript.DefaultErrorReporter,2
org.mozilla.javascript.JavaAdapter,18
org.mozilla.javascript.ast.XmlLiteral,1
ecatedsrc.org.mozilla.javascript.xml.impl.xmlbeans.NamespaceHelper,1
org.mozilla.javascript.ast.ArrayComprehensionLoop,1
org.mozilla.javascript.InterpretedFunction,7
mplsrc.org.mozilla.javascript.xmlimpl.XMLName,6
org.mozilla.javascript.commonjs.module.provider.ModuleSource,5
org.mozilla.javascript.optimizer.Block,6
src.org.mozilla.javascript.tests.Utils,2
org.mozilla.javascript.ast.LetNode,1
org.mozilla.javascript.ast.XmlPropRef,1
org.mozilla.javascript.ast.FunctionCall,3
org.mozilla.javascript.VMBridge,5
src.org.mozilla.javascript.tests.DoctestsTest,10
org.mozilla.javascript.InterpreterData,2
src.org.mozilla.javascript.tests.WriteReadOnlyPropertyTest,4
org.mozilla.javascript.PolicySecurityController,7
org.mozilla.javascript.xml.XMLObject,4
org.mozilla.javascript.commonjs.module.provider.DefaultUrlConnectionExpiryCalculator,4
org.mozilla.javascript.ast.ForInLoop,1
