Component, CC
org.jfree.chart.renderer.category.DefaultCategoryItemRenderer,5
org.jfree.data.general.CombinationDataset,5
org.jfree.chart.plot.PiePlot3D,19
org.jfree.chart.renderer.xy.CandlestickRenderer,12
org.jfree.data.xy.AbstractIntervalXYDataset,5
org.jfree.chart.fx.interaction.MouseHandlerFX,2
org.jfree.data.RangeInfo,5
org.jfree.chart.entity.StandardEntityCollection,5
org.jfree.data.general.DefaultKeyedValuesDataset,5
org.jfree.chart.needle.WindNeedle,6
org.jfree.chart.renderer.category.LayeredBarRenderer,9
org.jfree.chart.plot.PlotOrientation,7
org.jfree.chart.plot.WaferMapPlot,6
org.jfree.chart.axis.Timeline,5
org.jfree.data.xy.CategoryTableXYDataset,9
org.jfree.chart.editor.DefaultPlotEditor,10
org.jfree.chart.ChartRenderingInfo,5
org.jfree.chart.fx.demo.PieChartFXDemo1,1
org.jfree.chart.annotations.XYTextAnnotation,10
org.jfree.chart.axis.SymbolAxis,9
org.jfree.chart.HashUtilities,8
org.jfree.chart.annotations.XYTitleAnnotation,7
org.jfree.chart.plot.ValueMarker,6
org.jfree.chart.imagemap.StandardURLTagFragmentGenerator,10
org.jfree.chart.labels.StandardCategoryItemLabelGenerator,5
org.jfree.data.statistics.DefaultMultiValueCategoryDataset,7
org.jfree.chart.annotations.AbstractXYAnnotation,6
org.jfree.chart.entity.TickLabelEntity,4
org.jfree.chart.annotations.XYImageAnnotation,7
org.jfree.chart.annotations.XYPolygonAnnotation,6
org.jfree.data.xy.XYCoordinate,5
org.jfree.chart.entity.CategoryItemEntity,6
org.jfree.data.general.DatasetChangeEvent,4
org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator,7
org.jfree.chart.renderer.RendererState,4
org.jfree.chart.renderer.xy.DeviationRenderer,11
org.jfree.chart.block.FlowArrangement,5
org.jfree.data.time.Second,9
org.jfree.chart.labels.StandardCategoryToolTipGenerator,6
org.jfree.chart.editor.PaletteChooserPanel,4
org.jfree.chart.renderer.OutlierList,4
org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset,8
org.jfree.chart.util.PaintAlpha,6
org.jfree.data.time.DynamicTimeSeriesCollection,8
org.jfree.data.general.DefaultPieDataset,6
org.jfree.chart.editor.DefaultChartEditor,7
org.jfree.chart.event.ChartChangeEvent,4
org.jfree.data.xy.OHLCDataItem,5
org.jfree.chart.editor.DefaultTitleEditor,7
org.jfree.data.general.DefaultKeyedValues2DDataset,5
org.jfree.data.general.SeriesChangeListener,4
org.jfree.data.time.TimeSeriesCollection,17
org.jfree.chart.axis.ValueTick,7
org.jfree.chart.axis.CategoryAxis3D,6
org.jfree.data.DefaultKeyedValues,9
org.jfree.data.time.SimpleTimePeriod,6
org.jfree.data.io.CSV,4
org.jfree.data.statistics.Regression,7
org.jfree.chart.labels.MultipleXYSeriesLabelGenerator,6
org.jfree.chart.labels.CrosshairLabelGenerator,3
org.jfree.chart.renderer.xy.XYItemRenderer,9
org.jfree.data.xy.XIntervalSeries,7
org.jfree.chart.ChartPanel,46
org.jfree.data.function.PowerFunction2D,6
org.jfree.chart.axis.DateTickUnitType,4
org.jfree.chart.block.EmptyBlock,7
org.jfree.chart.plot.ContourPlot,10
org.jfree.chart.renderer.xy.GradientXYBarPainter,7
org.jfree.chart.axis.AxisState,4
org.jfree.chart.block.LengthConstraintType,5
org.jfree.chart.labels.XYZToolTipGenerator,4
org.jfree.chart.title.TextTitle,9
org.jfree.chart.title.DateTitle,7
org.jfree.data.general.KeyedValueDataset,4
org.jfree.chart.ChartTheme,5
org.jfree.chart.plot.dial.ArcDialFrame,10
org.jfree.data.general.KeyedValues2DDataset,4
org.jfree.chart.resources.JFreeChartResources,13
org.jfree.chart.axis.CategoryLabelWidthType,6
org.jfree.data.category.CategoryDataset,4
org.jfree.data.general.SeriesChangeEvent,4
org.jfree.data.xy.YIntervalSeries,7
