Component, CC
java.edu.umd.cs.findbugs.ba.jsr305.ForwardTypeQualifierDataflowAnalysis,12
java5.edu.umd.cs.findbugs.gui.AnnotatedString,4
java.edu.umd.cs.findbugs.classfile.ClassDescriptor,9
java.edu.umd.cs.findbugs.detect.EqStringTest,3
java.edu.umd.cs.findbugs.ba.npe2.DefinitelyNullSetAnalysis,3
java.edu.umd.cs.findbugs.filter.FirstVersionMatcher,2
java.edu.umd.cs.findbugs.ShowHelp,8
java.edu.umd.cs.findbugs.classfile.DescriptorFactory,23
java.edu.umd.cs.findbugs.Obfuscate,8
java.edu.umd.cs.findbugs.detect.FindUseOfNonSerializableValue,3
gui.edu.umd.cs.findbugs.gui2.HelpDialog,1
java.edu.umd.cs.findbugs.cloud.BugFilingCommentHelper,7
java.edu.umd.cs.findbugs.detect.PublicSemaphores,2
obsolete.edu.umd.cs.findbugs.ba.npe2.TestDefinitelyNullSet,1
java.edu.umd.cs.findbugs.ba.PathVisitor,2
java.edu.umd.cs.findbugs.detect.HugeSharedStringConstants,3
java.edu.umd.cs.findbugs.model.ClassNameRewriter,2
java.edu.umd.cs.findbugs.bcel.generic.NullnessConversationInstruction,2
java.edu.umd.cs.findbugs.ba.AnalysisException,3
java.edu.umd.cs.findbugs.detect.FindSelfComparison2,6
java.edu.umd.cs.findbugs.detect.DontIgnoreResultOfPutIfAbsent,17
tools.edu.umd.cs.findbugs.tools.GenerateUpdateXml,1
java.edu.umd.cs.findbugs.cloud.CloudPlugin,11
java.edu.umd.cs.findbugs.ba.type.TypeAnalysis,12
java.edu.umd.cs.findbugs.graph.GraphVertex,2
java.edu.umd.cs.findbugs.classfile.engine.bcel.MethodFactory,2
java.edu.umd.cs.findbugs.detect.SuspiciousThreadInterrupted,2
java.edu.umd.cs.findbugs.ba.vna.ValueNumberSourceInfo,9
java.edu.umd.cs.findbugs.ba.AnnotationDatabase,10
java.edu.umd.cs.findbugs.util.LaunchBrowser,18
obsolete.edu.umd.cs.findbugs.gui.FindBugsFrame,6
tools.edu.umd.cs.findbugs.tools.ComparePerfomance,6
java5.edu.umd.cs.findbugs.gui2.CheckBoxList,2
java.edu.umd.cs.findbugs.cloud.BugLinkInterface,2
java5.edu.umd.cs.findbugs.gui2.AnalyzingDialog,7
java.edu.umd.cs.findbugs.PluginDoesntContainMetadataException,2
gui.edu.umd.cs.findbugs.gui2.ViewFilter,4
java.edu.umd.cs.findbugs.ba.bcp.LongOrDoubleLocalVariable,2
java.edu.umd.cs.findbugs.workflow.Churn,12
java.edu.umd.cs.findbugs.detect.FindNullDeref,55
java.edu.umd.cs.findbugs.ba.deref.UnconditionalValueDerefAnalysis,16
java.edu.umd.cs.findbugs.annotations.Confidence,4
java.edu.umd.cs.findbugs.ba.constant.ConstantFrame,2
junit.edu.umd.cs.findbugs.updates.UpdateCheckerTest,3
java.edu.umd.cs.findbugs.ba.vna.ValueNumberAnalysis,9
java.edu.umd.cs.findbugs.detect.StaticFieldLoadStreamFactory,2
java.edu.umd.cs.findbugs.cloud.CloudListener,2
java.edu.umd.cs.findbugs.DeepSubtypeAnalysis,8
java.edu.umd.cs.findbugs.util.HTML,7
java.edu.umd.cs.findbugs.annotations.CreatesObligation,2
java.edu.umd.cs.findbugs.util.ExactStringMatcher,2
java.edu.umd.cs.findbugs.cloud.DBStats,37
java.edu.umd.cs.findbugs.ba.obl.ObligationPolicyDatabaseActionType,3
java.edu.umd.cs.findbugs.detect.InitializeNonnullFieldsInConstructor,4
java.edu.umd.cs.findbugs.classfile.engine.bcel.MethodBytecodeSetFactory,2
java.edu.umd.cs.findbugs.BugRanker,33
java.edu.umd.cs.findbugs.ba.type.LongExtraType,2
java.edu.umd.cs.findbugs.ba.ReturnPath,2
java.edu.umd.cs.findbugs.detect.BuildNonnullReturnDatabase,2
java.edu.umd.cs.findbugs.util.ClassName,21
java.edu.umd.cs.findbugs.internalAnnotations.SlashedPattern,2
java.edu.umd.cs.findbugs.cloud.appEngine.ServerReturnedErrorCodeException,1
java5.edu.umd.cs.findbugs.gui2.SuppressionMatcher,2
java.edu.umd.cs.findbugs.ba.bcp.Store,2
junit.edu.umd.cs.findbugs.visitclass.GetNumberArgumentsTest,2
java.edu.umd.cs.findbugs.asm.AbstractFBMethodVisitor,2
java.edu.umd.cs.findbugs.detect.FindPuzzlers,36
java.edu.umd.cs.findbugs.ba.SourceInfoMap,4
java.edu.umd.cs.findbugs.ba.CFGBuilder,2
java.edu.umd.cs.findbugs.classfile.analysis.AnnotationValue,4
java.edu.umd.cs.findbugs.plan.DetectorNode,2
java5.edu.umd.cs.findbugs.gui2.SplitLayout,8
java5.edu.umd.cs.findbugs.gui2.FilterListener,2
java.edu.umd.cs.findbugs.ba.bcp.MatchAny,3
java.edu.umd.cs.findbugs.ml.ConvertToARFF,3
java.edu.umd.cs.findbugs.FindBugs2,71
java.edu.umd.cs.findbugs.detect.DumbMethodInvocations,4
java.edu.umd.cs.findbugs.XMLWriteableWithMessages,2
java.edu.umd.cs.findbugs.plugins.DuplicatePluginIdException,1
java.edu.umd.cs.findbugs.BugReporterObserver,2
java.edu.umd.cs.findbugs.TextUIProgressCallback,3
java.edu.umd.cs.findbugs.XDocsBugReporter,10
obsolete.edu.umd.cs.findbugs.ba.npe2.DefinitelyNullSetDataflowFactory,1
java.edu.umd.cs.findbugs.cloudInterface.BugCollectionStorageCloud,1
java.edu.umd.cs.findbugs.classfile.engine.bcel.ConstantPoolGenFactory,2
java.edu.umd.cs.findbugs.ba.type.FieldStoreType,2
java.edu.umd.cs.findbugs.classfile.IClassPathBuilderProgress,3
java.edu.umd.cs.findbugs.PluginLoader,110
java5.edu.umd.cs.findbugs.sourceViewer.NoWrapBoxView,2
java.edu.umd.cs.findbugs.ba.type.FieldStoreTypeDatabase,2
java.edu.umd.cs.findbugs.ba.bcp.Wild,2
java.edu.umd.cs.findbugs.ba.obl.InstructionActionCache,13
java.edu.umd.cs.findbugs.xml.MetaCharacterMap,2
java5.edu.umd.cs.findbugs.sourceViewer.DocumentCharacterIterator,2
java.edu.umd.cs.findbugs.classfile.engine.bcel.NonExceptionPostdominatorsAnalysis,2
java.edu.umd.cs.findbugs.ba.AccessibleEntity,2
gui.edu.umd.cs.findbugs.gui2.AnalyzingDialog,6
java.edu.umd.cs.findbugs.ExitCodes,2
java.edu.umd.cs.findbugs.ba.MethodChooser,2
java.edu.umd.cs.findbugs.ba.jsr305.BackwardTypeQualifierDataflow,2
java.edu.umd.cs.findbugs.ba.LockAnalysis,3
java.edu.umd.cs.findbugs.detect.LazyInit,8
java.edu.umd.cs.findbugs.classfile.engine.bcel.CallListDataflowFactory,2
java.edu.umd.cs.findbugs.ba.vna.ValueNumberCache,5
java.edu.umd.cs.findbugs.HTMLBugReporter,6
java.edu.umd.cs.findbugs.visitclass.LVTHelper,3
java.edu.umd.cs.findbugs.userAnnotations.ri.XMLFileUserAnnotationPlugin,2
java5.edu.umd.cs.findbugs.sourceViewer.NavigableTextPane,3
junit.edu.umd.cs.findbugs.BugInstanceTest,8
java.edu.umd.cs.findbugs.charsets.UserTextFile,2
java.edu.umd.cs.findbugs.ba.FileSourceFileDataSource,4
gui.edu.umd.cs.findbugs.gui2.FilterFromBugPicker,2
java.edu.umd.cs.findbugs.ba.SourceFile,3
antTask.edu.umd.cs.findbugs.anttask.FilterBugsTask,6
java.edu.umd.cs.findbugs.PluginUpdateListener,4
gui.edu.umd.cs.findbugs.gui2.SourceCodeDisplay,2
java.edu.umd.cs.findbugs.graph.GraphToolkit,2
java.edu.umd.cs.findbugs.classfile.engine.EngineRegistrar,2
java.edu.umd.cs.findbugs.ba.bcp.PatternElementMatch,2
java.edu.umd.cs.findbugs.ba.ch.ClassVertex,2
java.edu.umd.cs.findbugs.util.TypeMatcher,2
java.edu.umd.cs.findbugs.util.FractionalMultiset,7
java.edu.umd.cs.findbugs.ba.heap.FieldSet,2
java.edu.umd.cs.findbugs.detect.FindNonSerializableValuePassedToWriteObject,4
junit.edu.umd.cs.findbugs.cloud.appEngine.AbstractAppEngineCloudTest,1
java.edu.umd.cs.findbugs.util.TopologicalSort,5
java.edu.umd.cs.findbugs.detect.CallToUnconditionalThrower,10
junit.edu.umd.cs.findbugs.cloud.AbstractCloudTest,34
java.edu.umd.cs.findbugs.model.SimilarClassSet,2
java.edu.umd.cs.findbugs.Analyze,4
java.edu.umd.cs.findbugs.ProjectStats,24
java.edu.umd.cs.findbugs.workflow.FileBugHash,9
java.edu.umd.cs.findbugs.filter.RankMatcher,3
java.edu.umd.cs.findbugs.AWTEventQueueExecutor,1
java.edu.umd.cs.findbugs.ba.npe.ReturnValueNullnessPropertyDatabase,2
java.edu.umd.cs.findbugs.ComponentPlugin,3
gui.edu.umd.cs.findbugs.gui2.SplitLayout,2
java.edu.umd.cs.findbugs.ba.jsr305.ForwardTypeQualifierDataflow,2
java.edu.umd.cs.findbugs.ba.npe.IsNullValueAnalysis,17
gui.edu.umd.cs.findbugs.sourceViewer.NavigableTextPane,1
java.edu.umd.cs.findbugs.ba.npe.NonNullParamViolation,2
java.edu.umd.cs.findbugs.ba.interproc.ParameterProperty,3
java.edu.umd.cs.findbugs.internalAnnotations.StaticConstant,1
java5.edu.umd.cs.findbugs.gui2.DisplayNonmodelMessage,8
java.edu.umd.cs.findbugs.PrintingBugReporter,24
java.edu.umd.cs.findbugs.bcel.package-info,1
java.edu.umd.cs.findbugs.detect.XMLFactoryBypass,3
java.edu.umd.cs.findbugs.LocalVariableAnnotation,16
gui.edu.umd.cs.findbugs.gui2.PreferencesFrame,24
java.edu.umd.cs.findbugs.BugPattern,14
java.edu.umd.cs.findbugs.detect.StreamEquivalenceClass,2
java.edu.umd.cs.findbugs.classfile.engine.bcel.package-info,2
java.edu.umd.cs.findbugs.detect.FindReturnRef,6
java.edu.umd.cs.findbugs.ba.ch.InterproceduralCallGraphEdge,2
java.edu.umd.cs.findbugs.classfile.IClassObserver,2
java5.edu.umd.cs.findbugs.sourceViewer.HighlightInformation,2
java.edu.umd.cs.findbugs.ba.PruneInfeasibleExceptionEdges,5
java.edu.umd.cs.findbugs.classfile.engine.asm.ClassReaderAnalysisEngine,2
java.edu.umd.cs.findbugs.CallGraph,2
java.edu.umd.cs.findbugs.ba.DFSEdgeTypes,2
java.edu.umd.cs.findbugs.annotations.DefaultAnnotationForFields,3
java.edu.umd.cs.findbugs.DiscoverSourceDirectories,5
java.edu.umd.cs.findbugs.classfile.impl.SingleFileCodeBaseEntry,2
java5.edu.umd.cs.findbugs.gui2.StackedFilterMatcher,3
junit.edu.umd.cs.findbugs.cloud.appEngine.AppEngineCloudMiscTests,1
java.edu.umd.cs.findbugs.detect.VolatileUsage,6
java.edu.umd.cs.findbugs.ba.jsr305.ValidatorClassLoader,8
java.edu.umd.cs.findbugs.ba.LockChecker,2
java.edu.umd.cs.findbugs.props.GeneralWarningProperty,4
java5.edu.umd.cs.findbugs.gui2.PropertiesDialog,3
java5.edu.umd.cs.findbugs.gui2.FindBugsProjectFileFilter,1
java.edu.umd.cs.findbugs.TypeAnnotation,10
java.edu.umd.cs.findbugs.CallGraphNode,1
java.edu.umd.cs.findbugs.classfile.engine.package-info,2
java.edu.umd.cs.findbugs.ba.BlockType,2
java.edu.umd.cs.findbugs.classfile.engine.bcel.NonImplicitExceptionPostDominatorsAnalysisFactory,2
java5.edu.umd.cs.findbugs.sourceViewer.NumberedViewFactory,2
java.edu.umd.cs.findbugs.detect.InvalidJUnitTest,7
java5.edu.umd.cs.findbugs.gui2.FilterMatcher,3
java5.edu.umd.cs.findbugs.gui2.FilterFactory,5
java.edu.umd.cs.findbugs.ba.jsr305.TypeQualifierAnnotation,6
infonodeJava.edu.umd.cs.findbugs.gui2.DockLayout,3
java.edu.umd.cs.findbugs.classfile.engine.ClassParserInterface,2
java.edu.umd.cs.findbugs.classfile.impl.ClassPathImpl,3
java.edu.umd.cs.findbugs.ba.npe.package-info,3
java.edu.umd.cs.findbugs.classfile.engine.bcel.JavaClassAnalysisEngine,3
java.edu.umd.cs.findbugs.ba.type.TypeFrame,5
java.edu.umd.cs.findbugs.ba.BlockOrder,3
java.edu.umd.cs.findbugs.gui.Logger,1
