Component, CC
antlr.TreeWalkerGrammar,2
antlr.preprocessor.Hierarchy,1
tests.net.sf.jabref.bst.AllTests,1
antlr.CSharpCharFormatter,1
net.sf.jabref.imports.dblppp.trunk.net.sf.jabref.imports.dblppp.test.net.sf.jabref.imports.dblppp.QueristTest,1
net.sf.jabref.groups.GroupTreeNode,28
tests.net.sf.jabref.imports.GeneralFetcherTest,1
jabref-mrdlib.src.java.net.sf.jabref.imports.ImportMenuItem,1
net.sf.jabref.external.ExternalFileTypeEditor,8
net.sf.jabref.MarkEntriesAction,1
net.sf.jabref.bst.Warn,1
net.sf.jabref.gui.SearchResultsDialog,9
net.sf.jabref.groups.Versioning,3
tests.net.sf.jabref.AllTests,13
net.sf.jabref.gui.PreventDraggingJTableHeader,2
net.sf.jabref.gui.components.JPanelXBoxPreferredHeight,2
net.sf.jabref.imports.dblppp.src.net.sf.jabref.imports.ws.Sequence,1
net.sf.jabref.export.ExpandEndnoteFilters,4
net.sf.jabref.search.SearchExpressionLexer,9
com.incors.plaf.kunststoff.KunststoffTableHeaderUI,1
net.sf.jabref.export.OpenDocumentSpreadsheetCreator,7
net.sf.jabref.undo.UndoableInsertEntry,2
net.sf.jabref.sql.DBConnectDialog,6
antlr.actions.java.ActionLexer,1
net.sf.jabref.groups.UndoableResetGroups,3
net.sf.jabref.export.layout.format.AuthorLastFirst,4
net.sf.jabref.oo.AdvancedCiteDialog,1
antlr.CharBuffer,2
antlr.MismatchedCharException,2
net.sf.jabref.oo.UndefinedCharacterFormatException,1
net.sf.jabref.export.layout.Layout,16
antlr.ANTLRStringBuffer,2
antlr.ANTLRGrammarParseBehavior,2
net.sf.jabref.oo.UndefinedCharacterFormatException,1
antlr.LLkAnalyzer,2
gnu.dtools.ritopt.OptionModuleRegistrar,1
net.sf.jabref.imports.ImportCustomizationDialog,13
jabref-mrdlib.src.java.net.sf.jabref.groups.EntryTableTransferHandler,3
net.sf.jabref.oo.BstWrapper,1
net.sf.jabref.export.PostgreSQLExport,1
antlr.TreeSpecifierNode,2
net.sf.jabref.imports.BibteXMLImporter,5
net.sf.jabref.OneField,1
net.sf.jabref.imports.dblppp.src.net.sf.jabref.imports.dblppp.DBLPppFetcher,2
