Component, CC
org.apache.catalina.Realm,6
org.apache.catalina.users.AbstractGroup,2
org.apache.tomcat.util.bcel.classfile.StackMap,6
org.apache.jasper.compiler.TextOptimizer,3
org.apache.el.parser.AstLessThanEqual,1
org.apache.naming.resources.WARDirContext,13
org.apache.catalina.deploy.FilterMap,5
org.apache.el.lang.FunctionMapperFactory,1
org.apache.jasper.runtime.JspRuntimeLibrary,4
org.apache.catalina.session.ManagerBase,50
org.apache.tomcat.util.file.Constants,1
org.apache.jasper.JasperException,2
org.apache.catalina.authenticator.SingleSignOnEntry,2
org.apache.naming.factory.ResourceLinkFactory,2
org.apache.catalina.users.AbstractRole,2
org.apache.catalina.ha.session.DeltaRequest,7
org.apache.coyote.http11.InternalAprInputBuffer,8
org.apache.el.parser.ELParser,1
org.apache.catalina.tribes.transport.nio.ParallelNioSender,4
org.apache.catalina.deploy.SecurityRoleRef,1
org.apache.catalina.ant.UndeployTask,3
org.apache.naming.StringManager,2
org.apache.catalina.ContainerListener,2
javax.servlet.http.HttpSessionAttributeListener,1
org.apache.catalina.core.StandardServer,24
org.apache.catalina.realm.JAASMemoryLoginModule,3
org.apache.catalina.realm.JDBCRealm,6
org.apache.catalina.Lifecycle,13
org.apache.jasper.tagplugins.jstl.core.Import,2
org.apache.catalina.tribes.tipis.LazyReplicatedMap,4
org.apache.tomcat.util.buf.CharChunk,4
org.apache.catalina.Pipeline,1
org.apache.catalina.deploy.JspPropertyGroup,1
org.apache.catalina.Host,9
org.apache.catalina.tribes.io.XByteBuffer,4
javax.el.ListELResolver,3
org.apache.naming.factory.SendMailFactory,5
org.apache.jasper.compiler.TagFileProcessor,8
org.apache.catalina.deploy.ResourceBase,3
org.apache.catalina.tribes.transport.bio.util.SingleRemoveSynchronizedAddLock,2
org.apache.tomcat.util.http.fileupload.FileUpload,1
org.apache.catalina.ssi.ByteArrayServletOutputStream,2
org.apache.jasper.tagplugins.jstl.Util,5
org.apache.catalina.tribes.group.interceptors.OrderInterceptor,3
org.apache.catalina.Server,6
org.apache.tomcat.util.bcel.classfile.ConstantClass,3
org.apache.el.lang.ELArithmetic,5
org.apache.jasper.tagplugins.jstl.core.ForEach,3
org.apache.catalina.SessionListener,3
org.apache.tomcat.util.bcel.classfile.CodeException,3
org.apache.naming.resources.DirContextURLConnection,7
org.apache.coyote.AbstractProcessor,7
org.apache.naming.resources.DirContextURLStreamHandlerFactory,2
javax.servlet.ServletContextListener,1
org.apache.jasper.compiler.Localizer,2
org.apache.el.parser.AstValue,11
org.apache.catalina.mbeans.ContextResourceLinkMBean,2
org.apache.coyote.http11.OutputFilter,3
org.apache.tomcat.jni.Directory,1
javax.servlet.http.HttpServletResponseWrapper,2
javax.servlet.ServletContextAttributeEvent,3
org.apache.catalina.mbeans.ClassNameMBean,1
org.apache.catalina.users.MemoryUser,3
org.apache.tomcat.util.bcel.util.ByteSequence,2
org.apache.catalina.ha.session.SessionIDMessage,4
javax.servlet.ServletContextEvent,2
org.apache.tomcat.util.digester.CallMethodRule,1
org.apache.tomcat.util.digester.FactoryCreateRule,2
org.apache.naming.SelectorContext,3
org.apache.tomcat.util.http.fileupload.FileUtils,1
org.apache.tomcat.util.bcel.classfile.LocalVariableTable,7
org.apache.tomcat.util.bcel.classfile.Signature,4
org.apache.jasper.compiler.Dumper,3
org.apache.catalina.connector.ResponseFacade,5
org.apache.tomcat.util.bcel.classfile.Annotations,3
org.apache.catalina.tribes.group.interceptors.MessageDispatch15Interceptor,4
org.apache.catalina.ha.ClusterRuleSet,2
org.apache.catalina.ha.session.ReplicatedSession,2
org.apache.catalina.startup.SetAllPropertiesRule,1
org.apache.catalina.ant.jmx.JMXAccessorGetTask,1
org.apache.catalina.ssi.SSIProcessor,5
org.apache.tomcat.util.bcel.classfile.Field,5
org.apache.catalina.ssi.SSIExec,5
org.apache.catalina.connector.ClientAbortException,2
org.apache.tomcat.util.buf.HexUtils,1
org.apache.catalina.core.ApplicationServletRegistration,6
org.apache.el.lang.FunctionMapperImpl,2
org.apache.catalina.deploy.Injectable,2
javax.persistence.PersistenceProperty,1
org.apache.catalina.tribes.io.BufferPool15Impl,1
org.apache.tomcat.util.http.mapper.MappingData,2
org.apache.catalina.Loader,1
org.apache.catalina.ha.ClusterSession,2
org.apache.catalina.tribes.transport.bio.PooledMultiSender,3
org.apache.tomcat.util.bcel.classfile.AccessFlags,2
javax.servlet.ServletRegistration,1
org.apache.tomcat.util.bcel.classfile.Deprecated,5
org.apache.catalina.tribes.util.Arrays,3
org.apache.catalina.tribes.group.interceptors.DomainFilterInterceptor,3
org.apache.catalina.tribes.transport.bio.MultipointBioSender,4
org.apache.jasper.compiler.JarURLResource,2
org.apache.coyote.ajp.AjpMessage,8
org.apache.tomcat.util.digester.Digester,9
org.apache.el.parser.Token,1
org.apache.tomcat.util.bcel.classfile.ExceptionTable,5
org.apache.tomcat.jni.Socket,1
org.apache.tomcat.util.bcel.classfile.Code,4
org.apache.catalina.connector.InputBuffer,4
javax.ejb.EJB,1
org.apache.tomcat.util.scan.Jar,2
org.apache.tomcat.util.modeler.FeatureInfo,1
org.apache.catalina.valves.RemoteIpValve,16
org.apache.el.parser.AstIdentifier,5
org.apache.catalina.mbeans.ContainerMBean,4
org.apache.jasper.compiler.ELFunctionMapper,7
javax.servlet.ServletOutputStream,3
org.apache.jasper.compiler.JspReader,1
javax.servlet.annotation.ServletSecurity,1
org.apache.coyote.http11.filters.SavedRequestInputFilter,3
org.apache.tomcat.util.net.jsse.JSSESupport,2
javax.servlet.AsyncContext,3
org.apache.tomcat.util.modeler.Registry,4
org.apache.catalina.security.SecurityListener,2
org.apache.tomcat.util.bcel.classfile.JavaClass,8
org.apache.catalina.realm.UserDatabaseRealm,8
org.apache.catalina.startup.ExpandWar,8
org.apache.catalina.tribes.transport.bio.util.LinkObject,1
org.apache.el.parser.AstChoice,1
org.apache.jasper.runtime.PerThreadTagHandlerPool,2
org.apache.el.lang.EvaluationContext,1
org.apache.catalina.ha.deploy.FileMessageFactory,5
org.apache.catalina.valves.AccessLogValve,35
org.apache.coyote.http11.filters.VoidOutputFilter,7
org.apache.jasper.tagplugins.jstl.core.Out,1
org.apache.el.parser.AstGreaterThan,1
org.apache.tomcat.util.bcel.classfile.RuntimeVisibleAnnotations,6
org.apache.naming.NamingEntry,2
org.apache.coyote.Request,3
org.apache.catalina.mbeans.JmxRemoteLifecycleListener,5
org.apache.catalina.manager.StatusManagerServlet,6
org.apache.catalina.startup.Bootstrap,11
org.apache.naming.EjbRef,2
org.apache.catalina.tribes.group.interceptors.GzipInterceptor,5
org.apache.coyote.ajp.AjpProtocol,41
org.apache.el.parser.NodeVisitor,1
org.apache.catalina.security.Constants,1
org.apache.jasper.compiler.Compiler,7
org.apache.jasper.compiler.AttributeParser,2
org.apache.tomcat.util.digester.RuleSetBase,2
org.apache.tomcat.util.net.SocketProperties,3
org.apache.catalina.deploy.FilterDef,4
javax.servlet.ServletContextAttributeListener,1
org.apache.catalina.manager.host.Constants,2
org.apache.tomcat.util.bcel.classfile.Method,5
org.apache.el.MethodExpressionLiteral,1
org.apache.catalina.manager.JspHelper,6
org.apache.coyote.AbstractProtocol,8
org.apache.jasper.tagplugins.jstl.core.Param,2
org.apache.naming.ResourceEnvRef,2
org.apache.tomcat.util.bcel.classfile.Synthetic,5
javax.el.BeanELResolver,10
org.apache.tomcat.util.digester.RulesBase,2
org.apache.coyote.ajp.AbstractAjpProtocol,21
org.apache.naming.NamingService,3
org.apache.catalina.startup.WebRuleSet,7
org.apache.catalina.tribes.Constants,1
org.apache.catalina.startup.ContextConfig,75
org.apache.naming.resources.ImmutableNameNotFoundException,3
org.apache.catalina.tribes.io.ReplicationStream,1
org.apache.tomcat.jni.Global,1
org.apache.catalina.realm.JNDIRealm,20
org.apache.catalina.deploy.MessageDestination,1
org.apache.catalina.realm.MemoryRuleSet,1
org.apache.catalina.startup.HomesUserDatabase,3
org.apache.tomcat.util.bcel.classfile.EnumElementValue,3
org.apache.tomcat.jni.Pool,1
org.apache.el.parser.AstOr,1
org.apache.catalina.ha.deploy.WarWatcher,5
org.apache.catalina.LifecycleEvent,4
org.apache.catalina.ha.backend.CollectedInfo,2
javax.servlet.jsp.el.Expression,1
org.apache.coyote.http11.Http11Processor,98
org.apache.catalina.comet.CometProcessor,1
org.apache.catalina.realm.Constants,1
org.apache.tomcat.util.http.fileupload.RequestContext,1
org.apache.jasper.compiler.ImplicitTagLibraryInfo,3
org.apache.el.parser.AstAnd,1
javax.servlet.jsp.JspApplicationContext,1
org.apache.naming.NamingContextEnumeration,3
org.apache.jasper.el.ExpressionImpl,1
org.apache.jasper.compiler.SmapGenerator,2
org.apache.catalina.core.ApplicationHttpRequest,9
org.apache.jasper.compiler.JspUtil,9
javax.servlet.jsp.el.ExpressionEvaluator,3
org.apache.tomcat.util.buf.B2CConverter,6
javax.servlet.jsp.tagext.TagAdapter,2
javax.servlet.jsp.tagext.TagFileInfo,1
org.apache.catalina.ha.session.JvmRouteBinderValve,10
org.apache.catalina.connector.Request,55
javax.servlet.jsp.tagext.PageData,1
org.apache.catalina.realm.JAASRealm,6
org.apache.catalina.Authenticator,2
org.apache.naming.NameParserImpl,3
org.apache.el.lang.ExpressionBuilder,9
org.apache.coyote.ajp.AbstractAjpProcessor,41
org.apache.tomcat.util.net.jsse.JSSESocketFactory,20
org.apache.catalina.ant.ListTask,1
javax.servlet.jsp.tagext.FunctionInfo,2
org.apache.tomcat.util.http.fileupload.util.Closeable,1
org.apache.tomcat.util.threads.LimitLatch,1
org.apache.catalina.core.Constants,1
org.apache.catalina.loader.VirtualWebappLoader,3
org.apache.el.parser.SimpleCharStream,1
org.apache.tomcat.util.bcel.classfile.ConstantLong,3
org.apache.jasper.el.VariableResolverImpl,2
org.apache.catalina.ant.jmx.Arg,1
org.apache.tomcat.jni.Poll,2
org.apache.catalina.loader.WebappLoader,23
org.apache.catalina.core.StandardHost,18
org.apache.catalina.deploy.InjectionTarget,2
org.apache.catalina.startup.HostRuleSet,3
org.apache.jasper.compiler.JasperTagInfo,2
org.apache.catalina.Group,1
org.apache.catalina.core.JasperListener,6
org.apache.catalina.LifecycleException,3
org.apache.catalina.ContainerEvent,3
org.apache.catalina.loader.StandardClassLoader,2
org.apache.tomcat.util.bcel.classfile.Attribute,8
javax.el.ExpressionFactory,5
org.apache.tomcat.util.bcel.classfile.RuntimeVisibleParameterAnnotations,4
org.apache.catalina.tribes.ChannelListener,2
org.apache.tomcat.util.http.Parameters,6
org.apache.tomcat.InstanceManager,4
org.apache.juli.logging.LogFactory,4
org.apache.coyote.http11.InternalAprOutputBuffer,8
org.apache.tomcat.util.bcel.classfile.RuntimeInvisibleParameterAnnotations,4
org.apache.catalina.users.MemoryRole,1
org.apache.naming.NamingServiceMBean,1
org.apache.tomcat.util.http.fileupload.ServletRequestContext,1
org.apache.tomcat.util.threads.ThreadPoolExecutor,7
org.apache.catalina.Role,1
org.apache.catalina.tribes.ChannelReceiver,1
org.apache.jasper.tagplugins.jstl.core.ForTokens,1
org.apache.tomcat.util.digester.SetPropertiesRule,1
org.apache.catalina.tribes.group.ChannelInterceptorBase,2
org.apache.catalina.manager.host.HostManagerServlet,14
org.apache.catalina.filters.CsrfPreventionFilter,10
org.apache.catalina.startup.TldConfig,15
org.apache.catalina.tribes.group.AbsoluteOrder,4
org.apache.tomcat.util.net.Constants,1
org.apache.catalina.ant.JMXQueryTask,1
org.apache.naming.JndiPermission,2
org.apache.catalina.tribes.group.interceptors.NonBlockingCoordinator,3
org.apache.catalina.util.ResourceSet,2
org.apache.catalina.startup.LifecycleListenerRule,1
org.apache.jasper.compiler.ScriptingVariabler,1
org.apache.tomcat.util.http.fileupload.servlet.ServletRequestContext,3
org.apache.tomcat.util.scan.UrlJar,1
org.apache.catalina.tribes.membership.MemberImpl,3
org.apache.catalina.deploy.SecurityCollection,2
org.apache.catalina.users.MemoryUserDatabaseFactory,2
org.apache.tomcat.util.net.AbstractEndpoint,39
org.apache.tomcat.util.digester.PathCallParamRule,1
org.apache.coyote.http11.Constants,3
